"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"SO_NEG_DUR_C",,,,,
"SO_NEG_DUR_F",,,,,
"SO_NEG_DUR_O",,,,,
"SO_P2P_C",,,,,
"SO_P2P_F",0.016981077394315,0.856855766040404,0.84574867843184,1.22323035173298,7884
"SO_P2P_O",-0.097820420607318,0.534644052816731,0.665917758584531,1.2348484629182,7884
"SO_RATE_C",,,,,
"SO_RATE_F",0.0359437952829795,0.561530852475836,0.918144830994868,1.17033229745445,7884
"SO_RATE_O",-0.0732813141593321,0.248622248425692,0.820554395126445,1.05254648012108,7884
"SO_SLOPE_NEG1_C",,,,,
"SO_SLOPE_NEG1_F",0.00500497695471985,0.962911455841458,0.813872114960254,1.2410552008302,7884
"SO_SLOPE_NEG1_O",0.335057245730568,0.292758889107656,0.748914960141925,2.60972364146745,7884
"SO_SLOPE_POS1_C",,,,,
"SO_SLOPE_POS1_F",0.0944646956510468,0.0378328469525672,1.00532252031923,1.20156032803481,7884
"SO_SLOPE_POS1_O",-0.0329941400025142,0.702133890322649,0.817025565847448,1.1457925858586,7884
"theta_alpha_mean_C_NREM",,,,,
"theta_alpha_mean_C_R",,,,,
"theta_alpha_mean_C_W",,,,,
"theta_alpha_mean_F_NREM",-0.0152521456332914,0.796545548308267,0.877042558483147,1.1059397977162,7884
"theta_alpha_mean_F_R",-0.0313490049010563,0.633339930547544,0.852014491004698,1.10236043887734,7479
"theta_alpha_mean_F_W",,,,,
"theta_alpha_mean_O_NREM",-0.082206361286351,0.233053134181694,0.804676268601417,1.05432685450177,7884
"theta_alpha_mean_O_R",-0.0524540135386111,0.485022449728424,0.818983632911279,1.09942042269072,7479
"theta_alpha_mean_O_W",,,,,
"theta_bandpower_kurtosis_C_NREM",-0.0212119740569357,0.771751923738281,0.848291052755942,1.1298755923233,7884
"theta_bandpower_kurtosis_C_R",,,,,
"theta_bandpower_kurtosis_C_W",,,,,
"theta_bandpower_kurtosis_F_NREM",-0.00251832883247472,0.97337027768541,0.860381646172303,1.15643564626654,7884
"theta_bandpower_kurtosis_F_R",0.0512406729089704,0.39718657104881,0.934841108083067,1.18513897694365,7479
"theta_bandpower_kurtosis_F_W",,,,,
"theta_bandpower_kurtosis_O_NREM",0.0539740624054883,0.381038521321773,0.935391842343993,1.19093400756682,7884
"theta_bandpower_kurtosis_O_R",0.0223261482734975,0.720137227924038,0.905009177932813,1.15541835500741,7479
"theta_bandpower_kurtosis_O_W",,,,,
"theta_bandpower_mean_C_NREM",,,,,
"theta_bandpower_mean_C_R",,,,,
"theta_bandpower_mean_C_W",,,,,
"theta_bandpower_mean_F_NREM",,,,,
"theta_bandpower_mean_F_R",,,,,
"theta_bandpower_mean_F_W",,,,,
"theta_bandpower_mean_O_NREM",,,,,
"theta_bandpower_mean_O_R",,,,,
"theta_bandpower_mean_O_W",,,,,
"TotalSleepTime",,,,,
"WASO",,,,,
