"","coef","Pr(>|z|)","lower .95","upper .95"
"AMP_F_1:2",0.00973242338971731,0.73235408747043,0.955000222351241,1.0677018687438
"DENS_F_1:2",0.0249797770465518,0.575382229303854,0.939482965933477,1.11894373367216
"DUR_F_1:2",0.0102046750878105,0.597904074995285,0.972663109555315,1.04930374667861
"FFT_F_1:2",-0.013349591088585,0.669962440789835,0.927984398506307,1.04921385698494
"COUPL_ANGLE_F_1:2",0.0300272147521291,0.267129499269652,0.977255346982037,1.08660888542022
"COUPL_OVERLAP_F_1:2",-0.0056753909191543,0.895985789268726,0.913236048706361,1.08264823386781
"SO_DUR_F_1:2",0.038652064093377,0.20210770522763,0.979475174911186,1.1030096783031
"SO_P2P_F_1:2",0.0255530567457954,0.838049668087643,0.802932074868743,1.31073922415736
"SO_RATE_F_1:2",0.0268650086072155,0.339186682142968,0.972168709678472,1.08540798262793
"SO_SLOPE_NEG1_F_1:2",0.068039962621122,0.694329965920504,0.762387575079385,1.50287531382954
"SO_SLOPE_POS1_F_1:2",0.0265784215463845,0.182252077013454,0.987601579368581,1.06783449938414
"DENS_C_1:2",0.0182682350646911,0.635215385797821,0.944399146676352,1.09827728480999
"COUPL_OVERLAP_C_1:2",0.0451292378717411,0.231744468218054,0.971577141430267,1.12647477086525
"AMP_O_1:2",-0.147003227401286,0.533806993614055,0.543314136798321,1.37171413436431
"DENS_O_1:2",0.0287564292144992,0.485704404786152,0.949244937941391,1.11583306675088
"DUR_O_1:2",0.00418942520465093,0.894932006139993,0.943664185083204,1.06861536885911
"FFT_O_1:2",0.0195423268904459,0.38793883109605,0.975483744611785,1.06599265607694
"COUPL_ANGLE_O_1:2",0.0381787165026006,0.0982936912384421,0.992940209197558,1.08702245102592
"COUPL_OVERLAP_O_1:2",0.0271221440154795,0.456892160133632,0.956638365477688,1.10359621148952
"SO_DUR_O_1:2",0.0862547944100925,0.0235453405857727,1.01166624921181,1.17458026866096
"SO_P2P_O_1:2",-0.114083053982517,0.538334858501767,0.620356225058465,1.28312088455691
"SO_RATE_O_1:2",0.00191967327988633,0.944545042258661,0.949166237510951,1.05760896945159
"SO_SLOPE_NEG1_O_1:2",-0.0612089798718545,0.850751900336893,0.497184690293756,1.77957710020655
"SO_SLOPE_POS1_O_1:2",0.00104077241771967,0.967528325180214,0.952115775334095,1.05248094687036
"alpha_bandpower_mean_F_NREM_1:2",0.00773004767665849,0.817759336977882,0.943631180386084,1.07624699351741
"alpha_bandpower_mean_O_NREM_1:2",-0.0235441380466924,0.503556336600542,0.911620904733086,1.04649111625936
"delta_bandpower_kurtosis_F_NREM_1:2",-0.0155337893853937,0.670106240943625,0.916675149112324,1.05752846061217
"delta_bandpower_kurtosis_O_NREM_1:2",-0.0492359035130009,0.116833828115482,0.89514309033729,1.01237584371517
"theta_bandpower_kurtosis_F_NREM_1:2",-0.0242989079390044,0.47258850452745,0.913379621757714,1.04290060360222
"theta_bandpower_kurtosis_C_NREM_1:2",0.000314348102941246,0.990608424511824,0.949302593490145,1.05406737613337
"theta_bandpower_kurtosis_O_NREM_1:2",0.0281223173832936,0.365796545903896,0.967708435069543,1.09315616379045
"alpha_bandpower_kurtosis_F_NREM_1:2",0.0306267762550967,0.357590767928254,0.965969693641821,1.10062298645817
"alpha_bandpower_kurtosis_C_NREM_1:2",0.017955492174824,0.51818109103778,0.964149727367773,1.07510643065106
"alpha_bandpower_kurtosis_O_NREM_1:2",-0.0309857763969197,0.312840686299966,0.912873082224351,1.0296169779959
"sigma_bandpower_kurtosis_F_NREM_1:2",-0.0692236702149466,0.0533921165942601,0.869828777533559,1.00101206549843
"sigma_bandpower_kurtosis_C_NREM_1:2",-0.073944194380357,0.0113625264080424,0.877044556773142,0.983447614671836
"sigma_bandpower_kurtosis_O_NREM_1:2",-0.0405429611122813,0.246091811357651,0.896684179552215,1.02836035132866
"delta_alpha_mean_F_NREM_1:2",-0.0253763612490574,0.510012041561297,0.904050394250895,1.05139457730243
"delta_alpha_mean_C_NREM_1:2",-0.0145632252095442,0.632523374948249,0.928434735488166,1.04616253473419
"delta_alpha_mean_O_NREM_1:2",-0.0247907405368186,0.431117626729912,0.917128027829321,1.03761698090277
"theta_alpha_mean_F_NREM_1:2",0.00688946302095346,0.841912649388711,0.94099915525566,1.07744442414761
"theta_alpha_mean_O_NREM_1:2",0.0291961404831825,0.441249910316032,0.955890597055095,1.10905033122657
"alpha_bandpower_mean_F_R_1:2",-0.0384129986135948,0.291577035899856,0.896014608413851,1.0335221840468
"alpha_bandpower_mean_O_R_1:2",-0.00130404445136396,0.972162629051244,0.928164109951244,1.07458939482016
"delta_bandpower_kurtosis_F_R_1:2",0.0297127886435838,0.353150938245439,0.967530750110973,1.09684036248255
"delta_bandpower_kurtosis_O_R_1:2",0.019716472806688,0.47841708435306,0.965799193541188,1.07705696188072
