"","coef","Pr(>|z|)","lower .95","upper .95"
"DENS_F_1:2",-0.000371506741532345,0.992446660886701,0.925624890519501,1.07954882449442
"DUR_F_1:2",-0.017671101306159,0.45085577872436,0.938374260368853,1.02866743138633
"FFT_F_1:2",-0.0422382517005526,0.141029046160778,0.906214247753455,1.01410152247895
"COUPL_ANGLE_F_1:2",-0.00364948687976467,0.871858427914766,0.953138522971705,1.04153549052195
"COUPL_OVERLAP_F_1:2",-0.0812710127268278,0.0474704791463655,0.850751438913682,0.999093659776278
"SO_DUR_F_1:2",0.0596894596803955,0.00153175469845781,1.02302920674273,1.10143170410326
"SO_RATE_F_1:2",0.0473427551730581,0.0573426759104,0.998524672298751,1.10093732149559
"SO_SLOPE_NEG1_F_1:2",0.155336230047469,0.106845444722238,0.967085930366944,1.41077667311061
"SO_SLOPE_POS1_F_1:2",0.00214886217296556,0.937023515168474,0.950130462971497,1.05702007455549
"DUR_C_1:2",-0.0628037320198564,0.0339415138070209,0.886170839526091,0.995249381841576
"FFT_C_1:2",-0.0683713279221562,0.00301599849184261,0.892659332605473,0.977074478013948
"COUPL_OVERLAP_C_1:2",-0.0804773599337939,0.00384655947137534,0.873674739078035,0.974425127016891
"SO_DUR_C_1:2",0.0511551368219598,0.00339852057060041,1.01707049009496,1.08913504789503
"DENS_O_1:2",0.0275398637948933,0.420622800304206,0.961285261845099,1.09917929194311
"DUR_O_1:2",-0.0321609578348722,0.227501962663346,0.919070209578548,1.02027361984723
"FFT_O_1:2",-0.0356989265060697,0.0808218507299562,0.927025666606055,1.00438576239894
"COUPL_ANGLE_O_1:2",-0.0260330973411835,0.204271573911755,0.935919297774894,1.0142605571407
"COUPL_OVERLAP_O_1:2",-0.0993792482544052,0.00722508253646087,0.842073363445753,0.973487438244791
"SO_DUR_O_1:2",0.137264417661562,2.07975866638674e-07,1.08920509406109,1.20813841709156
"SO_P2P_O_1:2",-0.126887312089455,0.0654666451965096,0.769590760990807,1.00815483144082
"SO_RATE_O_1:2",0.0471056904403099,0.038741148482331,1.00244065618345,1.09611674088684
"SO_SLOPE_POS1_O_1:2",-0.0455233596459333,0.300597490079437,0.876588573386652,1.04150919150991
"alpha_bandpower_mean_F_NREM_1:2",-0.0358639381330216,0.184455260543111,0.915002828454727,1.01724729242828
"alpha_bandpower_mean_C_NREM_1:2",-0.0431624227049328,0.0649590149861623,0.914844726756757,1.00267966412953
"alpha_bandpower_mean_O_NREM_1:2",-0.04587064677637,0.126893618171161,0.900533449727108,1.01311189254559
"delta_bandpower_kurtosis_O_NREM_1:2",-0.0165598870825989,0.554727334092701,0.930989752312599,1.03913354363189
"theta_bandpower_kurtosis_F_NREM_1:2",-0.0307377809479418,0.310181057820635,0.913838302738499,1.02903973672957
"theta_bandpower_kurtosis_C_NREM_1:2",-0.00253899572904976,0.918997283308191,0.949830183136906,1.04748711654837
"theta_bandpower_kurtosis_O_NREM_1:2",0.0545828947311717,0.0374384099949756,1.00317849896476,1.11181335025176
