"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"alpha_bandpower_kurtosis_C_NREM",-0.0582649627343719,0.401133385033801,0.82342812680633,1.08085142325565,8189
"alpha_bandpower_kurtosis_C_R",,,,,
"alpha_bandpower_kurtosis_C_W",,,,,
"alpha_bandpower_kurtosis_F_NREM",-0.130298009293916,0.0656919900520936,0.764103535097611,1.00849181590827,8189
"alpha_bandpower_kurtosis_F_R",-0.0412490684668555,0.513458401820191,0.847919470502742,1.08596769554683,7747
"alpha_bandpower_kurtosis_F_W",,,,,
"alpha_bandpower_kurtosis_O_NREM",-0.0454810711012599,0.450452908043302,0.849079775352831,1.0753433339214,8189
"alpha_bandpower_kurtosis_O_R",-0.108112655347119,0.084744098966283,0.7937100873105,1.01492193991496,7747
"alpha_bandpower_kurtosis_O_W",,,,,
"alpha_bandpower_mean_C_NREM",-0.122750071841668,0.058405108927758,0.778904981780845,1.0043756166516,8189
"alpha_bandpower_mean_C_R",,,,,
"alpha_bandpower_mean_C_W",,,,,
"alpha_bandpower_mean_F_NREM",-0.107945189242067,0.0944042489372763,0.791017336989345,1.01871804189154,8189
"alpha_bandpower_mean_F_R",,,,,
"alpha_bandpower_mean_F_W",,,,,
"alpha_bandpower_mean_O_NREM",-0.10839307484478,0.0897533831356163,0.791674725388187,1.01696074968273,8189
"alpha_bandpower_mean_O_R",-0.071198439215198,0.310906854863327,0.811467977300074,1.06877536625737,7747
"alpha_bandpower_mean_O_W",,,,,
"AMP_C",,,,,
"AMP_F",,,,,
"AMP_O",,,,,
"COUPL_ANGLE_C",,,,,
"COUPL_ANGLE_F",-0.0528639320339232,0.378149339763516,0.843302983628992,1.06684010920628,8176
"COUPL_ANGLE_O",-0.0950459849391809,0.104043846494583,0.810872337859345,1.01974508625195,8170
"COUPL_OVERLAP_C",-0.270439874942009,0.000245083834886821,0.660358136286724,0.881697026383739,8189
"COUPL_OVERLAP_F",-0.282450902051826,0.000379596081202624,0.645182135932494,0.881016271956033,8189
"COUPL_OVERLAP_O",-0.225994550806336,0.00105827625756901,0.696796382075776,0.91326694765745,8189
"delta_alpha_mean_C_NREM",-0.163136540172417,0.0398927427473047,0.727064999490267,0.992494624331017,8189
"delta_alpha_mean_C_R",-0.00717747395998784,0.900344596160777,0.887350654779987,1.11088844955655,7747
"delta_alpha_mean_C_W",,,,,
"delta_alpha_mean_F_NREM",-0.176647283827716,0.028196962129864,0.715758142543181,0.981295532096039,8189
"delta_alpha_mean_F_R",-0.0925906921678328,0.18018377728655,0.796124079781888,1.04374879409795,7747
"delta_alpha_mean_F_W",,,,,
"delta_alpha_mean_O_NREM",0.0243629879229332,0.693169807415607,0.907864387517499,1.15648616562024,8189
"delta_alpha_mean_O_R",-0.00318758664419853,0.957530579876097,0.886471190847324,1.12089948920237,7747
"delta_alpha_mean_O_W",,,,,
"delta_bandpower_kurtosis_C_NREM",,,,,
"delta_bandpower_kurtosis_C_R",-0.0574581998902598,0.353757673862234,0.836189557993477,1.06607485934908,7747
"delta_bandpower_kurtosis_C_W",,,,,
"delta_bandpower_kurtosis_F_NREM",,,,,
