"Xname","coef","Pr(>|z|)","lower .95","upper .95","N"
"alpha_bandpower_kurtosis_C_NREM",-0.145837746473419,0.0447759398692461,0.749555322188119,0.996605433703131,8554
"alpha_bandpower_kurtosis_C_R",-0.312996919785449,4.31476569322654e-05,0.629399029816006,0.84958778684923,8083
"alpha_bandpower_kurtosis_C_W",,,,,
"alpha_bandpower_kurtosis_F_NREM",-0.180487090505466,0.0159576749889212,0.720883486966828,0.966864974151363,8554
"alpha_bandpower_kurtosis_F_R",-0.232703788082615,0.00245819006955659,0.681604044754517,0.921178724348158,8083
"alpha_bandpower_kurtosis_F_W",,,,,
"alpha_bandpower_kurtosis_O_NREM",-0.0391708056449222,0.490460849190932,0.860273457058196,1.07483090944059,8554
"alpha_bandpower_kurtosis_O_R",-0.225334592165671,0.000440676732327028,0.703983005853621,0.905137763682787,8083
"alpha_bandpower_kurtosis_O_W",,,,,
"alpha_bandpower_mean_C_NREM",-0.386332287193308,8.81816583550432e-09,0.595727181702018,0.775155124627405,8554
"alpha_bandpower_mean_C_R",0.0288189802514057,0.530711036787297,0.94056101226394,1.12627611888534,8083
"alpha_bandpower_mean_C_W",,,,,
"alpha_bandpower_mean_F_NREM",-0.3561642497919,2.12178510761201e-07,0.612191561540511,0.801221001330024,8554
"alpha_bandpower_mean_F_R",0.00535803325679179,0.921100399114217,0.904233939459817,1.11782321486821,8083
"alpha_bandpower_mean_F_W",,,,,
"alpha_bandpower_mean_O_NREM",-0.35065778224585,6.11870590000658e-08,0.620287801673767,0.799519903494168,8554
"alpha_bandpower_mean_O_R",-0.0172417283688968,0.773843483084055,0.873852155097129,1.10556953648987,8083
"alpha_bandpower_mean_O_W",,,,,
"AMP_C",-0.222015841221288,0.317193463175257,0.518376397606872,1.23741185154105,8554
"AMP_F",-0.157624154975122,0.423878982498424,0.580458832700268,1.25694991931234,8554
"AMP_O",-0.131403428719857,0.535463981163194,0.578677411447615,1.32870295819129,8554
"COUPL_ANGLE_C",-0.349278098648723,6.98321227673227e-11,0.634919220479405,0.783253643591452,8526
"COUPL_ANGLE_F",-0.290172684484907,9.14106351107827e-08,0.672592347246674,0.832160863445695,8540
"COUPL_ANGLE_O",-0.117002600552144,0.0364339953611746,0.797225291565507,0.992639983105616,8534
"COUPL_OVERLAP_C",-0.461900447968752,8.03814121109645e-09,0.538556227221787,0.737169429362958,8554
"COUPL_OVERLAP_F",-0.456753840342157,2.41198725096015e-07,0.53253952744105,0.753211264741612,8554
"COUPL_OVERLAP_O",-0.258081870504741,0.0001914599270995,0.674561455231143,0.884731344317866,8554
"delta_alpha_mean_C_NREM",-0.420653362662515,9.07916034530621e-07,0.555132790367126,0.776655193596073,8554
"delta_alpha_mean_C_R",0.050023688441646,0.289174662755207,0.958412499338281,1.15318120290863,8083
"delta_alpha_mean_C_W",,,,,
"delta_alpha_mean_F_NREM",-0.492099526142985,6.60629084097744e-08,0.511371739173811,0.730854725471272,8554
"delta_alpha_mean_F_R",0.038029410608372,0.444576269921603,0.942264897414159,1.14514086736806,8083
"delta_alpha_mean_F_W",,,,,
"delta_alpha_mean_O_NREM",-0.102438449023805,0.119452024452195,0.793436042783114,1.02685983913912,8554
"delta_alpha_mean_O_R",0.0664876740962095,0.0471369118222702,1.00084118345156,1.14126182958585,8083
"delta_alpha_mean_O_W",,,,,
"delta_bandpower_kurtosis_C_NREM",-0.109218710749919,0.0546011108573285,0.802043361553883,1.00215750838092,8554
"delta_bandpower_kurtosis_C_R",0.0449454172020794,0.403019627198186,0.941390946813894,1.16216843569596,8083
"delta_bandpower_kurtosis_C_W",,,,,
"delta_bandpower_kurtosis_F_NREM",-0.201882882582444,0.000260524301693838,0.733271550540697,0.910713806643752,8554
"delta_bandpower_kurtosis_F_R",-0.0191874104298603,0.735783940623295,0.877539142492362,1.09664870433407,8083
"delta_bandpower_kurtosis_F_W",,,,,
"delta_bandpower_kurtosis_O_NREM",,,,,
"delta_bandpower_kurtosis_O_R",0.0708442658701228,0.119544550869813,0.981814462848502,1.17355952371339,8083
"delta_bandpower_kurtosis_O_W",,,,,
"delta_bandpower_mean_C_NREM",,,,,
"delta_bandpower_mean_C_R",,,,,
"delta_bandpower_mean_C_W",,,,,
"delta_bandpower_mean_F_NREM",,,,,
"delta_bandpower_mean_F_R",,,,,
"delta_bandpower_mean_F_W",,,,,
"delta_bandpower_mean_O_NREM",,,,,
"delta_bandpower_mean_O_R",,,,,
"delta_bandpower_mean_O_W",,,,,
"delta_theta_mean_C_NREM",,,,,
"delta_theta_mean_C_R",,,,,
"delta_theta_mean_C_W",,,,,
"delta_theta_mean_F_NREM",,,,,
"delta_theta_mean_F_R",,,,,
"delta_theta_mean_F_W",,,,,
"delta_theta_mean_O_NREM",,,,,
"delta_theta_mean_O_R",,,,,
"delta_theta_mean_O_W",,,,,
"DENS_C",-0.392997988829152,2.78030960751463e-09,0.592986928808086,0.768424430236308,8554
"DENS_F",-0.335438771980406,8.61261826535686e-06,0.616805773303719,0.828882851156751,8554
"DENS_O",-0.29860533856175,5.46647940023032e-07,0.660048367621702,0.833794329164935,8554
"DUR_C",-0.0316095863124794,0.568408230978138,0.869163097788238,1.08004781602247,8554
"DUR_F",-0.00421545114450556,0.92789812243772,0.908900020488009,1.09099407607802,8554
"DUR_O",-0.0356707019416073,0.585066744993385,0.848981996658228,1.0967770169021,8554
"FFT_C",-0.00180880042036141,0.975211840857527,0.89056135065553,1.11883244659146,8554
"FFT_F",0.206817530904185,0.00022188036101174,1.10191078997216,1.3724388054203,8554
"FFT_O",-0.0468996038097273,0.417902318080229,0.851825358407128,1.06884063669755,8554
"kurtosis_NREM_C",-0.402318566466513,6.96061298898148e-07,0.570513994147322,0.783942539657686,8554
"kurtosis_NREM_F",-0.572710388166727,7.99823592789552e-12,0.478618495815553,0.664600402293922,8554
"kurtosis_NREM_O",0.0125377724530582,0.79756695365343,0.920105704572161,1.11442910927454,8554
"kurtosis_R_C",-0.186177202761667,0.00907006370672626,0.721792260204277,0.954720648660838,8083
"kurtosis_R_F",-0.174613520447008,0.00847549250191423,0.737405770196737,0.956370323999696,8083
"kurtosis_R_O",-0.0566072993477816,0.386890249070512,0.831244693215779,1.07424326314718,8083
"kurtosis_W_C",,,,,
"kurtosis_W_F",,,,,
"kurtosis_W_O",,,,,
"NREMPercTST",,,,,
"REMPercTST",,,,,
"sigma_bandpower_kurtosis_C_NREM",-0.357627379953968,5.52966110676266e-08,0.614692551449404,0.795629457326843,8554
"sigma_bandpower_kurtosis_F_NREM",-0.275073860317379,1.51428934273078e-05,0.67053241337256,0.860308283057406,8554
"sigma_bandpower_kurtosis_O_NREM",-0.282808578811135,3.19849446846877e-06,0.669103779690771,0.8489108930763,8554
"SleepEfficiency",,,,,
"SO_AMP_C",,,,,
"SO_AMP_F",,,,,
"SO_AMP_O",,,,,
"SO_DUR_C",0.266385433425783,6.02341312666079e-24,1.23942592350393,1.37454471421428,8554
"SO_DUR_F",0.289804593815719,4.06747232810568e-26,1.26626465890413,1.40992686533841,8554
"SO_DUR_O",0.37301416907919,1.47138982118184e-19,1.33937384190062,1.57432422320237,8554
"SO_NEG_DUR_C",,,,,
"SO_NEG_DUR_F",,,,,
"SO_NEG_DUR_O",,,,,
"SO_P2P_C",,,,,
"SO_P2P_F",,,,,
"SO_P2P_O",0.132354645963856,0.0180037946532278,1.02295187368404,1.27381565689025,8554
"SO_RATE_C",-0.330279734196688,2.79922002346151e-11,0.652121334494072,0.792125983395634,8554
"SO_RATE_F",,,,,
"SO_RATE_O",-0.215503759411144,0.000133189856254103,0.721761649957739,0.90037206141045,8554
"SO_SLOPE_NEG1_C",0.109753324504116,0.557043159952844,0.773709796751979,1.6097277483684,8554
"SO_SLOPE_NEG1_F",,,,,
"SO_SLOPE_NEG1_O",,,,,
"SO_SLOPE_POS1_C",-0.104578578846512,0.505612396954369,0.662001604898191,1.22547698171279,8554
"SO_SLOPE_POS1_F",0.0845288745072327,0.0469377437167477,1.00114498198928,1.18283419881558,8554
"SO_SLOPE_POS1_O",0.0615590950886368,0.106931449720746,0.986806259412217,1.14613996160734,8554
"theta_alpha_mean_C_NREM",-0.155804669302972,0.0172539753893452,0.752733026564992,0.972811760841169,8554
"theta_alpha_mean_C_R",0.0874134751954627,0.00130344688358249,1.03471615713196,1.15107904863224,8083
"theta_alpha_mean_C_W",,,,,
"theta_alpha_mean_F_NREM",,,,,
"theta_alpha_mean_F_R",0.0706005148625423,0.0307591808166335,1.00656488521582,1.14414496149053,8083
"theta_alpha_mean_F_W",,,,,
"theta_alpha_mean_O_NREM",-0.289400533218482,8.70501562609884e-06,0.659054845689556,0.85056661633972,8554
"theta_alpha_mean_O_R",0.0904353240067969,0.012621451777945,1.01956148189649,1.17527014624542,8083
"theta_alpha_mean_O_W",,,,,
"theta_bandpower_kurtosis_C_NREM",-0.391605144069063,8.84024207441117e-08,0.585614393396909,0.780268997322926,8554
"theta_bandpower_kurtosis_C_R",-0.314522951315043,3.06918554052197e-07,0.647300857963433,0.823574048097955,8083
"theta_bandpower_kurtosis_C_W",,,,,
"theta_bandpower_kurtosis_F_NREM",-0.315152209668777,2.21666039152826e-05,0.630798430435118,0.844056783831599,8554
"theta_bandpower_kurtosis_F_R",,,,,
"theta_bandpower_kurtosis_F_W",,,,,
"theta_bandpower_kurtosis_O_NREM",-0.0833550065065597,0.162361275316667,0.818496702579867,1.03414593012746,8554
"theta_bandpower_kurtosis_O_R",-0.219899662468605,0.000870977710917308,0.705139898762979,0.91352890005392,8083
"theta_bandpower_kurtosis_O_W",,,,,
"theta_bandpower_mean_C_NREM",,,,,
"theta_bandpower_mean_C_R",,,,,
"theta_bandpower_mean_C_W",,,,,
"theta_bandpower_mean_F_NREM",,,,,
"theta_bandpower_mean_F_R",,,,,
"theta_bandpower_mean_F_W",,,,,
"theta_bandpower_mean_O_NREM",,,,,
"theta_bandpower_mean_O_R",,,,,
"theta_bandpower_mean_O_W",,,,,
"TotalSleepTime",,,,,
"WASO",,,,,
