"","coef","Pr(>|z|)","lower .95","upper .95"
"AMP_F",-0.168529000807681,0.114871206691861,0.685211427848849,1.04182067639872
"DENS_F",0.0110770938167176,0.792074947347187,0.931201249501335,1.09793818953724
"DUR_F",-0.0126861074604609,0.560775283324484,0.946077263509605,1.03051515165169
"FFT_F",0.041004629299444,0.120729064139998,0.989270044955735,1.09723918682345
"COUPL_ANGLE_F",-0.0694108110807348,0.000889118023870859,0.895525121381774,0.971925020211137
"COUPL_OVERLAP_F",-0.0977407935380649,0.0259233391949669,0.832145637676053,0.98833479343694
"SO_DUR_F",0.0617636247542971,3.25628273705381e-07,1.03879824878314,1.08922097023575
"SO_SLOPE_POS1_F",0.0232757834315299,0.131046199384288,0.993087845397777,1.05494403809611
"AMP_C",-0.106582217422223,0.341224854258658,0.721754455755877,1.1195265268806
"DENS_C",0.00446946750395733,0.906687212201777,0.932148661445586,1.08242284555002
"DUR_C",-0.0144802697158688,0.533443692819169,0.941714570232005,1.03158093606782
"FFT_C",-0.0239466182665998,0.284617600944718,0.934437541901486,1.0201169255652
"COUPL_ANGLE_C",-0.0842231567926996,6.50366499663996e-05,0.882006073971599,0.958016787981811
"COUPL_OVERLAP_C",-0.091865730267027,0.026049223699381,0.841329995060769,0.989099694897469
"SO_DUR_C",0.0825952472420089,3.51809837505825e-05,1.04442339210184,1.1294440711649
"SO_RATE_C",0.00599041935585417,0.806881761310634,0.958831679836319,1.05550631849767
"SO_SLOPE_NEG1_C",0.0348060854590149,0.677983902216487,0.878542662062452,1.22030762800107
"SO_SLOPE_POS1_C",-0.093029840403772,0.0972862323898433,0.816284349412086,1.01707700957376
"AMP_O",-0.262236516743037,0.112539057750894,0.556479163531405,1.06359270063056
"DENS_O",-0.0322349287764918,0.384929778355382,0.900368618427248,1.04131169737828
"DUR_O",0.00494844749581011,0.839350580225187,0.958013145128753,1.05420894938352
"FFT_O",-0.0213425207342703,0.298689919869643,0.940265147863901,1.01908822434336
"COUPL_ANGLE_O",-0.0249142170011901,0.209026429767756,0.938206943708112,1.01405414179321
"COUPL_OVERLAP_O",-0.051637129942355,0.151085066802834,0.885033526698882,1.01903437887934
"SO_DUR_O",0.109496643589791,1.04928454640232e-05,1.06268272194501,1.17139659343326
"SO_P2P_O",0.0159718282049222,0.751474161666135,0.920466788376391,1.12166929240544
"SO_RATE_O",0.0223631424948376,0.331305041755749,0.977502753306666,1.06980935043438
"SO_SLOPE_POS1_O",0.0154154646364145,0.274752908146962,0.987826516509328,1.04402049083302
"alpha_bandpower_mean_F_NREM",-0.12633025689303,3.44317482796342e-05,0.830183043937452,0.935614780844736
"alpha_bandpower_mean_C_NREM",-0.147661781776213,1.195053190642e-05,0.807541896227278,0.921674437731783
"alpha_bandpower_mean_O_NREM",-0.118222744410482,0.000246818948998962,0.834071233464474,0.946476610338092
"delta_bandpower_kurtosis_F_NREM",-0.00974255231678469,0.749686385083572,0.932774575207704,1.05138318419489
"delta_bandpower_kurtosis_C_NREM",-0.0314958248761589,0.295716791841855,0.913446189542486,1.02792186872302
"theta_bandpower_kurtosis_F_NREM",-0.00127862563262472,0.960509129867131,0.949432270442202,1.05057100624121
"theta_bandpower_kurtosis_C_NREM",-0.0292698550491364,0.352053019212522,0.913095323709422,1.03290506801766
"theta_bandpower_kurtosis_O_NREM",0.0145470516011686,0.598460303145121,0.96117931578554,1.07110239918425
"alpha_bandpower_kurtosis_F_NREM",0.0102541534189276,0.738967291406598,0.951172881054622,1.07311727183829
"alpha_bandpower_kurtosis_C_NREM",0.0104871443685115,0.729364243738563,0.95225385256821,1.07239870157753
"alpha_bandpower_kurtosis_O_NREM",0.0230039814801904,0.350658743313585,0.975012897057268,1.07391681890817
"sigma_bandpower_kurtosis_F_NREM",0.0141852198093499,0.634567195588534,0.956658852265147,1.07538513970838
"sigma_bandpower_kurtosis_C_NREM",-0.0227461666453595,0.405548592189577,0.926495733383074,1.03133440755519
"sigma_bandpower_kurtosis_O_NREM",-0.0064907653488289,0.821895189700111,0.938939383579856,1.05129509232053
"delta_alpha_mean_F_NREM",-0.0854214363063964,0.021148816940798,0.85381040006318,0.987284781452331
"delta_alpha_mean_C_NREM",-0.0948428396226761,0.00611861400442074,0.849887056064916,0.973328278521594
"delta_alpha_mean_O_NREM",-0.0886140428281112,0.00256291465963276,0.863981489001702,0.969452160056291
"theta_alpha_mean_C_NREM",-0.0112728741509626,0.711736893408417,0.931401908077055,1.04971495041945
"theta_alpha_mean_O_NREM",-0.041115535739554,0.222478204077541,0.898372314084708,1.02525321537086
"alpha_bandpower_mean_F_R",0.0430916495368052,0.128771885374391,0.987567112400018,1.10372864124204
"alpha_bandpower_mean_C_R",0.0694460457532732,0.0128109423538134,1.01486980891271,1.13216502880726
"alpha_bandpower_mean_O_R",0.0481554289130643,0.0690484848004051,0.99624961292446,1.10524639856227
"delta_bandpower_kurtosis_F_R",0.0500921966552931,0.0619107470122329,0.997507012433544,1.10813729548913
"delta_bandpower_kurtosis_C_R",0.0449039443588158,0.0411189136903292,1.00181256898095,1.09198480288897
"delta_bandpower_kurtosis_O_R",-0.00954579928528165,0.658993606334419,0.94938425347225,1.03339558049717
"theta_bandpower_kurtosis_C_R",-0.0116831930833461,0.636677490892464,0.94161256326788,1.03748030985579
"theta_bandpower_kurtosis_O_R",-0.00695898795721716,0.812151599620276,0.937675491895284,1.05172678592269
"alpha_bandpower_kurtosis_F_R",-0.0523469203064493,0.0498136477345435,0.900638584239504,0.999957389511997
"alpha_bandpower_kurtosis_C_R",-0.0626172335776991,0.0258223987304192,0.888980622629474,0.992473837834828
