"","coef","Pr(>|z|)","lower .95","upper .95"
"DENS_F_1:2",-0.0424937872336293,0.441559443548184,0.860089098538447,1.06794016926581
"COUPL_OVERLAP_F_1:2",-0.0401807575362439,0.492447775650461,0.856491888589011,1.07739804488887
"DENS_C_1:2",0.0173904848809991,0.715474097326596,0.926707975843065,1.11728066294682
"COUPL_OVERLAP_C_1:2",-0.048307232870161,0.34079267470001,0.862690909566041,1.05241165457468
"SO_DUR_C_1:2",0.0401252629083173,0.0711853612994377,0.996544057732711,1.08731619504672
"DENS_O_1:2",0.0392841888092666,0.42311639599022,0.944748061426154,1.14500083506107
"DUR_O_1:2",-0.0295548064444444,0.425894686286688,0.902754159171826,1.04414189891142
"FFT_O_1:2",0.0182849552664399,0.508195988104845,0.964756570993439,1.0751383790966
"COUPL_ANGLE_O_1:2",-0.0143808763200502,0.605373376844218,0.933390072604357,1.04098806915247
"COUPL_OVERLAP_O_1:2",-0.0815762172147303,0.0968995472382941,0.837035282934438,1.01484574026398
"SO_DUR_O_1:2",0.0631236040827478,0.114161017781462,0.984922909118506,1.15193036556976
"SO_P2P_O_1:2",-0.0911530953683737,0.241022355746211,0.783852797424727,1.06314111682355
"SO_RATE_O_1:2",-0.0384030855802316,0.252347871997855,0.90108188988867,1.02773049325247
"SO_SLOPE_POS1_O_1:2",6.04676305817928e-05,0.998528730601546,0.937807040501337,1.06644640035916
"alpha_bandpower_mean_O_NREM_1:2",-0.0823485249503924,0.0830707731351708,0.839058898074802,1.01083560931062
"delta_bandpower_kurtosis_O_NREM_1:2",-0.0247536725649533,0.531632947897649,0.902744400050351,1.0542277168499
"theta_bandpower_kurtosis_F_NREM_1:2",-0.0447513083465885,0.234036401391368,0.888290529332712,1.02937703629554
"theta_bandpower_kurtosis_C_NREM_1:2",-0.0529439207164631,0.133925407468492,0.884990762037794,1.0164236402217
"theta_bandpower_kurtosis_O_NREM_1:2",-0.010563358489587,0.78574003787828,0.916930817346408,1.06779581429626
"alpha_bandpower_kurtosis_F_NREM_1:2",-0.00584712797865022,0.878392097382599,0.922427680639204,1.07149197366225
"alpha_bandpower_kurtosis_C_NREM_1:2",-0.00124767104779248,0.971424555852644,0.932847683595079,1.06931472975117
"alpha_bandpower_kurtosis_O_NREM_1:2",-0.0380500976219999,0.323243859293551,0.892662293887588,1.03815670828835
"sigma_bandpower_kurtosis_F_NREM_1:2",-0.028912811047126,0.376837608264546,0.911160735868261,1.03583756008421
"sigma_bandpower_kurtosis_C_NREM_1:2",-0.0486892492203138,0.167773775440738,0.88881045187495,1.02070420153917
"sigma_bandpower_kurtosis_O_NREM_1:2",0.00859627141193722,0.835624152464413,0.929969827144865,1.09395074497918
"delta_alpha_mean_F_NREM_1:2",-0.0357876428947502,0.389290784618148,0.889351252135001,1.04674748836146
"delta_alpha_mean_C_NREM_1:2",-0.0246749560479393,0.505418318406007,0.907291182962247,1.0491097303305
"delta_alpha_mean_O_NREM_1:2",-0.00362353558896259,0.930149827114359,0.918838888165279,1.08047138438323
"theta_alpha_mean_O_NREM_1:2",0.0168076177506883,0.728254886876671,0.924960108410058,1.1180877991056
"alpha_bandpower_mean_O_R_1:2",0.0319520804082632,0.457167106320055,0.949067282954637,1.12319774306602
"delta_bandpower_kurtosis_O_R_1:2",0.0425436759382621,0.211403781642647,0.976111155396731,1.11545920391455
"alpha_bandpower_kurtosis_O_R_1:2",0.00301327915083686,0.925259126593967,0.941819080284941,1.06819321842044
"delta_alpha_mean_O_R_1:2",-0.108950414988618,0.0323434435461203,0.8116156331902,0.99086951738243
"theta_alpha_mean_O_R_1:2",0.0182236224090034,0.696544865729322,0.92926370543928,1.11606595961001
"kurtosis_NREM_C_1:2",-0.0299203133879442,0.44598067222686,0.89864620702068,1.04814845957905
"kurtosis_NREM_F_1:2",-0.0287179400054806,0.515832210685164,0.891062362270183,1.0596143091568
"kurtosis_NREM_O_1:2",0.0443869568596424,0.323472934213415,0.957217322401129,1.14167757743791
"kurtosis_R_O_1:2",-0.0658289882090471,0.184828971657775,0.849481931568339,1.03197106736583
"Age_1:2",0.334354041671167,1.58389931312174e-16,1.30045464864732,1.50312202063623
"Sex_1:2",0.116988271427915,0.0443082717048624,1.01458202100519,1.24826521957516
"BMI_1:2",0.0836491685414231,0.000855969321488811,1.0350758016461,1.14204860856069
"MedBenzo_1:2",-0.0133495191078389,0.88708208338739,0.82068943755407,1.18638572107029
"MedAntiDep_1:2",0.11048920532452,0.202945525467387,0.942143874111588,1.32389174968378
"MedSedative_1:2",-0.172653902705962,0.233094234120733,0.63353422429265,1.11754403441597
"MedAntiEplipetic_1:2",0.0475181774660631,0.656937505987279,0.850293025384164,1.29331748120479
"MedStimulant_1:2",-4.90341489677249,0.988028625984832,0,Inf
"DENS_F_1:3",-0.0385962414347462,0.408371859714009,0.878012516686543,1.05432625985214
"COUPL_OVERLAP_F_1:3",-0.0536343492067299,0.288706341429963,0.858373994739547,1.04649520897174
"DENS_C_1:3",-0.0238661981041254,0.574611427543087,0.898339785899697,1.06127870365776
"COUPL_OVERLAP_C_1:3",-0.0613427991594843,0.184915090366669,0.858963102908586,1.02977848205146
"SO_DUR_C_1:3",0.0688269460245069,2.75849196395637e-09,1.04721814686537,1.09583499769766
"DENS_O_1:3",0.0315966407090072,0.464375663901891,0.948338227808016,1.12326243716438
"DUR_O_1:3",-0.0275678190144479,0.280463024711716,0.925306012705111,1.0227500570467
"FFT_O_1:3",-0.00943341166391916,0.705313137385197,0.943342322797486,1.04024808113823
"COUPL_ANGLE_O_1:3",-0.0369515643214109,0.123409500144352,0.919467056374577,1.01010868572955
"COUPL_OVERLAP_O_1:3",-0.0748071831759787,0.0768163655353645,0.854133259450542,1.00808620769949
