"","coef","Pr(>|z|)","lower .95","upper .95"
"DENS_F_1:2",-0.00283303938774496,0.904030655231518,0.9522897404737,1.04416744286188
"DUR_F_1:2",-0.0251323577902872,0.105031095597163,0.945991904469361,1.00527039193874
"COUPL_OVERLAP_F_1:2",-0.0197534956860624,0.408959068348375,0.935531144246804,1.02750532607019
"SO_DUR_F_1:2",0.0289397863516438,0.0269543198753258,1.00330492956684,1.05609705838843
"DENS_C_1:2",-0.00746284967176355,0.741942710796284,0.949439454071304,1.03764924931396
"COUPL_OVERLAP_C_1:2",-0.0134459641779046,0.563467723789848,0.94264621462974,1.03269543212545
"SO_DUR_C_1:2",0.0118843191089498,0.39851140716117,0.984418088020764,1.04026264463338
"SO_SLOPE_POS1_C_1:2",-0.0559434936366954,0.0535482686237647,0.893381467566141,1.0008549920171
"DENS_O_1:2",0.0215154077175771,0.411460692792899,0.970612751990585,1.07557835254662
"DUR_O_1:2",0.000506536049980875,0.973985753865502,0.970505639032457,1.03143510472416
"FFT_O_1:2",0.00153426487062908,0.913164569976164,0.974294413083876,1.02953812423378
"COUPL_ANGLE_O_1:2",0.0302438603663176,0.0371528735406461,1.00180277890689,1.06044280862729
"COUPL_OVERLAP_O_1:2",-0.0456110235829417,0.0698520585990982,0.90944304930333,1.00370771002086
"SO_DUR_O_1:2",0.0751379924305351,0.000511629305958505,1.0332961258869,1.12470656429105
"SO_RATE_O_1:2",0.0296611716093358,0.0659744287946397,0.998043968603555,1.06319687603159
"SO_SLOPE_NEG1_O_1:2",0.150319783799908,0.0586268505799526,0.994531360734054,1.35814964012117
"SO_SLOPE_POS1_O_1:2",-0.0105423971268314,0.597467426780079,0.951540597034295,1.02900069529364
"alpha_bandpower_mean_O_NREM_1:2",-0.0138957547167805,0.50474517477036,0.946744971884641,1.02730001280288
"delta_bandpower_kurtosis_O_NREM_1:2",0.00589025868918098,0.776829300575443,0.965761408679314,1.04772273137922
"theta_bandpower_kurtosis_F_NREM_1:2",-0.0241304880059376,0.160147056232157,0.943836371054237,1.0095871527117
"theta_bandpower_kurtosis_C_NREM_1:2",-0.0228095192544544,0.177814974832402,0.945552312206139,1.01042095014687
"theta_bandpower_kurtosis_O_NREM_1:2",0.0301094608634525,0.153182682060585,0.98885703432127,1.07403698838208
"alpha_bandpower_kurtosis_F_NREM_1:2",0.00258126696636146,0.886568580127892,0.967649724990299,1.03878072489763
"alpha_bandpower_kurtosis_C_NREM_1:2",-0.00656123080545181,0.722119054652419,0.958177757729054,1.03004192546429
"alpha_bandpower_kurtosis_O_NREM_1:2",-0.0321694648753605,0.103454046714444,0.931563773930985,1.0065732071601
"sigma_bandpower_kurtosis_O_NREM_1:2",0.0084324154896281,0.680928031808727,0.968738516962329,1.04982699384003
"delta_alpha_mean_F_NREM_1:2",-0.029606329896338,0.105005104576819,0.936690568155105,1.00620882358454
"delta_alpha_mean_C_NREM_1:2",-0.0433294818185334,0.0303273831333155,0.920773521941633,0.995890680300699
"delta_alpha_mean_O_NREM_1:2",-0.0695269712283416,0.00150677886530993,0.893625271873882,0.973765083502919
"theta_alpha_mean_O_NREM_1:2",0.041509425599351,0.0686922480129674,0.996823612606169,1.09002463185643
"alpha_bandpower_mean_O_R_1:2",-0.000665830399662049,0.975317779309876,0.958059856262783,1.04238708984541
"delta_bandpower_kurtosis_O_R_1:2",-0.00398669091302694,0.819684568257053,0.962457829997281,1.03075510463599
"theta_bandpower_kurtosis_O_R_1:2",-0.0325489527094598,0.128398897398657,0.928201082871363,1.00945338372943
"alpha_bandpower_kurtosis_F_R_1:2",-0.0249710000812474,0.111510012649429,0.945799767543781,1.00579914469975
"alpha_bandpower_kurtosis_C_R_1:2",-0.0256293881114611,0.117485261253082,0.94391571299256,1.006480536075
"alpha_bandpower_kurtosis_O_R_1:2",0.00874155707005865,0.642437340841607,0.972232845784958,1.04670073917427
"delta_alpha_mean_O_R_1:2",-0.0211367469048923,0.329658802153781,0.93834752264649,1.02159119979066
"theta_alpha_mean_O_R_1:2",-0.00244689244432305,0.919720494659123,0.951199762871979,1.04617159192961
"kurtosis_NREM_C_1:2",0.00482967626076158,0.804255257873433,0.967186730981566,1.04396195925239
"kurtosis_NREM_O_1:2",-0.000541806537671192,0.979402625925236,0.959183293158018,1.04142449200972
"kurtosis_R_O_1:2",0.00489169152190593,0.798679045570433,0.967830709960321,1.04339672878154
"Age_1:2",0.171904408359971,2.36476986250635e-21,1.14860198234528,1.2279982313378
"Sex_1:2",0.0505724133238583,0.0668384539004452,0.996557482986029,1.11026813362373
"BMI_1:2",0.117097352373521,3.16750822297649e-21,1.0972741373915,1.15184575182595
"MedBenzo_1:2",0.115085442977245,0.00963186386786689,1.02834845109755,1.22411338688539
"MedAntiDep_1:2",0.0228608867369292,0.618060441979156,0.935191864198843,1.11932445915895
"MedSedative_1:2",0.0112613946928706,0.847798888909009,0.901459730474158,1.13458017902925
"MedAntiEplipetic_1:2",0.0635281123679051,0.255838554925288,0.954993224742657,1.18899362705323
"MedStimulant_1:2",0.121080677310405,0.168487640912638,0.950040642382593,1.34099499025939
"DENS_F_1:3",0.0767337568307185,0.264714791881252,0.943544523199947,1.23562787234277
"DUR_F_1:3",-0.0102622798258423,0.773799977469957,0.9228898606587,1.06154014387633
"COUPL_OVERLAP_F_1:3",-0.154950944619242,0.0538717960132038,0.73162898579689,1.00258318496614
"SO_DUR_F_1:3",0.0444320053184799,0.0765242559074043,0.995276425163011,1.09811906668229
"DENS_C_1:3",0.00877298474668723,0.900873334174013,0.878734201675389,1.15814406941885
"COUPL_OVERLAP_C_1:3",-0.154192936929871,0.0601573349175669,0.729806958195558,1.00661110428709
"SO_DUR_C_1:3",0.0723456372179217,0.0109974221806121,1.01672018771819,1.13667726907187
