Name,Mean,Std
AMP_F,128.807573835998,715.0207938503266
DENS_F,3.9064939558037186,2.0061513757391913
DUR_F,1.6918561897822988,0.31688457140008214
FFT_F,26.3784459636335,0.38069884432482065
COUPL_ANGLE_F,466.7076803187599,164.92493230013068
COUPL_OVERLAP_F,348.0024099441908,217.00089206369475
SO_DUR_F,1.883124014195241,0.3757577799196598
SO_P2P_F,185.47622152388993,264.3612895834494
SO_RATE_F,43.72010869950962,6.0792939027843875
SO_SLOPE_NEG1_F,-614.5381230220484,1239.5583749552245
SO_SLOPE_POS1_F,40554.15188431181,99327.24990908818
AMP_C,130.63905660582583,742.1953455686225
DENS_C,4.199955532369977,1.9456166729661077
DUR_C,1.7494585771909323,0.3763521953292596
FFT_C,26.868858993764604,0.41703377621496174
COUPL_ANGLE_C,462.87817330848327,157.59614535457897
COUPL_OVERLAP_C,343.21829020801624,200.3465547927449
SO_DUR_C,1.7443535538620432,0.33449554033195666
SO_P2P_C,165.85833318509077,253.38042768354998
SO_RATE_C,43.72958895828134,5.918828096423881
SO_SLOPE_NEG1_C,-584.8101990440856,1237.580145198811
SO_SLOPE_POS1_C,44171.649421079695,194598.83590636935
AMP_O,127.06952582200059,778.1901388425401
DENS_O,3.9846928450180816,2.0682728562129324
DUR_O,1.7754836078646636,0.33332856726928173
FFT_O,27.05577467049434,0.49641875809483554
COUPL_ANGLE_O,396.52098537241386,152.06444412799326
COUPL_OVERLAP_O,286.6586757990868,183.65182398135255
SO_DUR_O,1.8095628389657847,0.376096161431064
SO_P2P_O,140.52350910921814,257.41927430669693
SO_RATE_O,40.884202660819454,4.3380430959432
SO_SLOPE_NEG1_O,-462.3260071950104,1235.8183796583528
SO_SLOPE_POS1_O,33729.43783893907,87078.75888712321
alpha_bandpower_mean_F_NREM,0.06352152941095181,0.03428114858638293
alpha_bandpower_mean_C_NREM,0.07029612595142509,0.03369795133323911
alpha_bandpower_mean_O_NREM,0.0690580498165359,0.03165489648526263
delta_bandpower_kurtosis_F_NREM,17.092033920004678,3.70368763824908
delta_bandpower_kurtosis_C_NREM,15.157011402083404,3.4932332180585255
delta_bandpower_kurtosis_O_NREM,13.999437521666012,3.478159153303237
theta_bandpower_kurtosis_F_NREM,7.420283865112449,2.399874815509547
theta_bandpower_kurtosis_C_NREM,7.086346892850951,2.2701554047667925
theta_bandpower_kurtosis_O_NREM,5.120603169206882,1.891485714061978
alpha_bandpower_kurtosis_F_NREM,7.62324861072299,2.6111249497398514
alpha_bandpower_kurtosis_C_NREM,6.695000463362658,2.213645859981036
alpha_bandpower_kurtosis_O_NREM,6.4393051600268265,2.0268481823206144
sigma_bandpower_kurtosis_F_NREM,18.221468117489888,7.179574043900402
sigma_bandpower_kurtosis_C_NREM,13.50355792780598,4.448643460045028
sigma_bandpower_kurtosis_O_NREM,12.958490609354332,4.9757997412123665
delta_alpha_mean_F_NREM,0.6841469651532,0.28299462950433285
delta_alpha_mean_C_NREM,0.5995345680419844,0.22159367471641614
delta_alpha_mean_O_NREM,0.4857671958157951,0.16253558178507693
theta_alpha_mean_F_NREM,0.09501589151461595,0.03635601160826222
theta_alpha_mean_C_NREM,0.1085957137773599,0.03765379590267422
theta_alpha_mean_O_NREM,0.12387452112630874,0.04261544342249794
alpha_bandpower_mean_F_R,0.03215491206114665,0.020658701765253036
alpha_bandpower_mean_C_R,0.03958593957521893,0.023266678140800304
alpha_bandpower_mean_O_R,0.052312850205494664,0.03092320533734575
delta_bandpower_kurtosis_F_R,16.76262016097812,5.282247142572991
delta_bandpower_kurtosis_C_R,13.221274083224367,4.974453153471449
delta_bandpower_kurtosis_O_R,12.621737602663382,5.177039703540078
theta_bandpower_kurtosis_F_R,6.575641694020124,2.392937012669355
theta_bandpower_kurtosis_C_R,6.496587095549998,2.263525121830367
theta_bandpower_kurtosis_O_R,5.926002437005796,2.6448519560622517
alpha_bandpower_kurtosis_F_R,7.043153161794164,3.2621062297237198
alpha_bandpower_kurtosis_C_R,6.7652311102259945,2.957446459035258
alpha_bandpower_kurtosis_O_R,6.5881565325055735,2.631023444308807
delta_alpha_mean_F_R,0.24706937574374388,0.14676159836414332
delta_alpha_mean_C_R,0.2028653674579794,0.10064054204922739
delta_alpha_mean_O_R,0.1975439932181851,0.1413719937491115
theta_alpha_mean_F_R,0.059462107923479994,0.031205946875769344
theta_alpha_mean_C_R,0.065077767888945,0.03394090441877951
theta_alpha_mean_O_R,0.06885490746233819,0.038424299766655505
kurtosis_NREM_C,2.3762742544289415,1.070419641450167
kurtosis_R_C,1.9746242093591206,1.2982115877457117
kurtosis_NREM_F,3.1995623285505173,1.4490477306659584
kurtosis_R_F,2.621205868694151,1.4559348679877497
kurtosis_NREM_O,1.5903569426162167,0.8144088092245025
kurtosis_R_O,1.9554259268521348,1.6274993162928002
Age,49.75868413919643,15.76206350125509
Sex,0.0,1.0
BMI,29.929924319197443,7.010460449445682
MedBenzo,0.0,1.0
MedAntiDep,0.0,1.0
MedSedative,0.0,1.0
MedAntiEplipetic,0.0,1.0
MedStimulant,0.0,1.0
