Name,Mean,Std
AMP_F,132.35880492723277,761.3466956975022
DENS_F,4.193225610665032,2.0103056546300935
DUR_F,1.701369497455751,0.31851316353567566
FFT_F,26.360504711325643,0.38339540706166797
COUPL_ANGLE_F,471.18752810815107,170.11145484724454
COUPL_OVERLAP_F,377.90801553672316,220.1842650044563
SO_DUR_F,1.8701953708080268,0.3684285469141559
SO_P2P_F,189.2491157907495,266.6769967299329
SO_RATE_F,43.89148138283371,6.0228584865124555
SO_SLOPE_NEG1_F,-633.2139884971583,1305.0724706753567
SO_SLOPE_POS1_F,42306.260527827086,104411.88002265309
AMP_C,131.30417370730746,719.9371236577288
DENS_C,4.458873112569414,1.9243686717887865
DUR_C,1.7614493334780048,0.3673361748825649
FFT_C,26.867731759458305,0.4279487418827874
COUPL_ANGLE_C,467.8915106346711,162.12544851049202
COUPL_OVERLAP_C,368.2422316384181,201.6331701620226
SO_DUR_C,1.723737197742342,0.3176441502256211
SO_P2P_C,168.6480863075969,256.80148977003586
SO_RATE_C,43.99938986469178,5.799645193482876
SO_SLOPE_NEG1_C,-604.3477677066513,1317.7379113665863
SO_SLOPE_POS1_C,43986.6046168477,125363.48709456569
AMP_O,129.91950186850593,803.7839377568192
DENS_O,4.116924852893595,2.061351312064798
DUR_O,1.7959440357508634,0.344272982339096
FFT_O,27.053614715956172,0.5097250782832488
COUPL_ANGLE_O,397.8768911886103,154.35692204607474
COUPL_OVERLAP_O,298.7643008474576,184.25266356271305
SO_DUR_O,1.7928483018207308,0.3594397135344528
SO_P2P_O,142.12089799787432,266.4098244784689
SO_RATE_O,40.961718720939224,4.278287932561307
SO_SLOPE_NEG1_O,-478.90005608725755,1364.612059281965
SO_SLOPE_POS1_O,34675.85005085897,94026.86221110822
alpha_bandpower_mean_F_NREM,0.06221903204930122,0.0319645420888714
alpha_bandpower_mean_C_NREM,0.06858837777763702,0.031189102675435017
alpha_bandpower_mean_O_NREM,0.06742757985417613,0.028203408169929667
delta_bandpower_kurtosis_F_NREM,17.308405233199874,3.6561478628134796
delta_bandpower_kurtosis_C_NREM,15.403409459762816,3.4765789700178287
delta_bandpower_kurtosis_O_NREM,13.926152236254739,3.3743265888386227
theta_bandpower_kurtosis_F_NREM,7.784049535393478,2.3815841368398627
theta_bandpower_kurtosis_C_NREM,7.424226764743074,2.228800873426958
theta_bandpower_kurtosis_O_NREM,5.186445554949106,1.8864948070485046
alpha_bandpower_kurtosis_F_NREM,7.954330594033815,2.647303178343034
alpha_bandpower_kurtosis_C_NREM,6.952687883032682,2.245046701696126
alpha_bandpower_kurtosis_O_NREM,6.579082188647839,2.022380942283157
sigma_bandpower_kurtosis_F_NREM,18.965780291930972,7.0078864692130365
sigma_bandpower_kurtosis_C_NREM,14.002553295500388,4.359215167910359
sigma_bandpower_kurtosis_O_NREM,13.305602414212753,4.938343723069729
delta_alpha_mean_F_NREM,0.7189297350062523,0.29022528158100114
delta_alpha_mean_C_NREM,0.6276914406869318,0.22628775329616577
delta_alpha_mean_O_NREM,0.49705301258699613,0.16137016336608773
theta_alpha_mean_F_NREM,0.09420009125764595,0.030003231348764935
theta_alpha_mean_C_NREM,0.10768438464820056,0.031380742941849435
theta_alpha_mean_O_NREM,0.1227979331414024,0.03770270091776293
alpha_bandpower_mean_F_R,0.030411683012163678,0.015792039672430456
alpha_bandpower_mean_C_R,0.03756911466244292,0.018413987948483174
alpha_bandpower_mean_O_R,0.05101656741642644,0.026915895805709158
delta_bandpower_kurtosis_F_R,16.655617996308745,5.2990548337055055
delta_bandpower_kurtosis_C_R,13.108549210600286,4.936339271422321
delta_bandpower_kurtosis_O_R,12.546046433267025,5.186598726089304
theta_bandpower_kurtosis_F_R,6.608680478564854,2.3529007012628056
theta_bandpower_kurtosis_C_R,6.544669922448477,2.2167062662929444
theta_bandpower_kurtosis_O_R,5.973900987750942,2.6442324772635555
alpha_bandpower_kurtosis_F_R,7.216303228956172,3.2660208985125796
alpha_bandpower_kurtosis_C_R,6.927890943465153,2.9742932307891614
alpha_bandpower_kurtosis_O_R,6.723089686041929,2.6403333599895222
delta_alpha_mean_F_R,0.24323827980654636,0.13404162692130786
delta_alpha_mean_C_R,0.19990028948662028,0.09204348333469857
delta_alpha_mean_O_R,0.19482149065628956,0.14057402805225985
theta_alpha_mean_F_R,0.057973768596390356,0.027207324458718714
theta_alpha_mean_C_R,0.06359041951201068,0.029567785294828758
theta_alpha_mean_O_R,0.06708665918780911,0.036753846498855845
kurtosis_NREM_C,2.5038957870998915,1.0939939794864078
kurtosis_R_C,1.966876747455905,1.3156258584407354
kurtosis_NREM_F,3.37821918602924,1.4796008609002116
kurtosis_R_F,2.6177797985939373,1.4838395153672803
kurtosis_NREM_O,1.5840149942040511,0.795952760159217
kurtosis_R_O,1.9286252052162836,1.6428356765991496
Age,46.01165979800325,15.21372788633591
Sex,0.0,1.0
BMI,29.11645864954459,6.905878828855951
MedBenzo,0.0,1.0
MedAntiDep,0.0,1.0
MedSedative,0.0,1.0
MedAntiEplipetic,0.0,1.0
MedStimulant,0.0,1.0
