Name,Mean,Std
AMP_F,132.11039586063632,721.9087869795699
DENS_F,3.879336526393751,2.010845017061307
DUR_F,1.696796933370756,0.36228271302606424
FFT_F,26.38038827246668,0.3810079955934876
COUPL_ANGLE_F,465.85052913258875,165.13351408854794
COUPL_OVERLAP_F,344.34988238207256,217.4816397983504
SO_DUR_F,1.8856127124703095,0.37904699626916966
SO_P2P_F,187.20264413291997,269.3181024237831
SO_RATE_F,43.69047185247269,6.090392206738375
SO_SLOPE_NEG1_F,-623.3469632320035,1328.7973760605132
SO_SLOPE_POS1_F,40608.001963151815,99251.60358421081
AMP_C,134.2730544606169,750.7753291575491
DENS_C,4.184995780068443,1.9540295221566975
DUR_C,1.7535420824944408,0.41380271899126886
FFT_C,26.866054754963418,0.4161464827172248
COUPL_ANGLE_C,462.05061459091183,157.5264555900807
COUPL_OVERLAP_C,340.5133093970534,201.12572974469055
SO_DUR_C,1.747041116026262,0.3369798548378026
SO_P2P_C,167.60312111866563,259.04037174295235
SO_RATE_C,43.6877116485451,5.9226603237025195
SO_SLOPE_NEG1_C,-593.2426630312882,1312.931383734911
SO_SLOPE_POS1_C,43642.78228584158,191917.41009002825
AMP_O,128.20830364417105,764.4813340201621
DENS_O,3.980189392756318,2.072239908723609
DUR_O,1.7784546123203588,0.368085482231015
FFT_O,27.052918884702738,0.497166673824479
COUPL_ANGLE_O,395.9995932525669,151.58701315065755
COUPL_OVERLAP_O,285.0909991333416,184.05963368244844
SO_DUR_O,1.8128628443675137,0.37974280315740694
SO_P2P_O,141.7965153379516,256.48557392465625
SO_RATE_O,40.86394016218061,4.3577573709459605
SO_SLOPE_NEG1_O,-467.23555969386825,1277.7737426958042
SO_SLOPE_POS1_O,34027.77687355863,90267.5534606482
alpha_bandpower_mean_F_NREM,0.06333509955941109,0.034194161044572145
alpha_bandpower_mean_C_NREM,0.07019230954686426,0.033655112964077694
alpha_bandpower_mean_O_NREM,0.06891814165968405,0.03153970516972962
delta_bandpower_kurtosis_F_NREM,17.084200134728984,3.7073656864435556
delta_bandpower_kurtosis_C_NREM,15.154359734476767,3.4962451000263046
delta_bandpower_kurtosis_O_NREM,14.012936823689433,3.4863992810445845
theta_bandpower_kurtosis_F_NREM,7.401931251050109,2.4099341634282725
theta_bandpower_kurtosis_C_NREM,7.0677124223856795,2.277714652301666
theta_bandpower_kurtosis_O_NREM,5.1149477723621475,1.8771039401583784
alpha_bandpower_kurtosis_F_NREM,7.595297890549616,2.596179050372917
alpha_bandpower_kurtosis_C_NREM,6.6722812289118885,2.2059017034703303
alpha_bandpower_kurtosis_O_NREM,6.4273274907220594,2.0131016838298548
sigma_bandpower_kurtosis_F_NREM,18.145575484994254,7.173376509982239
sigma_bandpower_kurtosis_C_NREM,13.48007951241373,4.425096606285815
sigma_bandpower_kurtosis_O_NREM,12.972864475362787,4.954748965546816
delta_alpha_mean_F_NREM,0.6814388556019656,0.2827697837012838
delta_alpha_mean_C_NREM,0.5977317808535028,0.2211953760434877
delta_alpha_mean_O_NREM,0.4851159488989104,0.16207529416183675
theta_alpha_mean_F_NREM,0.09478690250353024,0.03627254502519161
theta_alpha_mean_C_NREM,0.1083750577235272,0.037571880180132654
theta_alpha_mean_O_NREM,0.12362571837855484,0.04256125020117659
alpha_bandpower_mean_F_R,0.03220484166211504,0.02055420298596479
alpha_bandpower_mean_C_R,0.03973457221679202,0.023301190672024488
alpha_bandpower_mean_O_R,0.05231654970172415,0.030886352499821614
delta_bandpower_kurtosis_F_R,16.768912750891417,5.274150696533811
delta_bandpower_kurtosis_C_R,13.240635959545537,5.005459984113849
delta_bandpower_kurtosis_O_R,12.64298255637671,5.171684902855065
theta_bandpower_kurtosis_F_R,6.568748907132547,2.4007807385313806
theta_bandpower_kurtosis_C_R,6.499971901567089,2.284136831720728
theta_bandpower_kurtosis_O_R,5.92247604451753,2.6315077552508894
alpha_bandpower_kurtosis_F_R,7.0405476512544825,3.2590568685662347
alpha_bandpower_kurtosis_C_R,6.755882401763045,2.949184402670528
alpha_bandpower_kurtosis_O_R,6.583925013888053,2.617117973013041
delta_alpha_mean_F_R,0.2472073425323525,0.14740035649616423
delta_alpha_mean_C_R,0.2034471798135523,0.10162848923284266
delta_alpha_mean_O_R,0.19809805074428977,0.1411539325062584
theta_alpha_mean_F_R,0.05954003709789727,0.031095188405167243
theta_alpha_mean_C_R,0.0651657504592933,0.033784228937512095
theta_alpha_mean_O_R,0.06892652780997197,0.03822642649609511
kurtosis_NREM_C,2.366991895689037,1.0704951940975516
kurtosis_R_C,1.9676107639595235,1.3030537114920535
kurtosis_NREM_F,3.1833918139036546,1.44704020650769
kurtosis_R_F,2.6098918596401357,1.4461098389839437
kurtosis_NREM_O,1.5862199008428495,0.807326242663167
kurtosis_R_O,1.9393306830729147,1.6042474534712585
Age,50.18667686530839,16.014489100646358
Sex,0.0,1.0
BMI,29.91847292361405,7.00903287380059
MedBenzo,0.0,1.0
MedAntiDep,0.0,1.0
MedSedative,0.0,1.0
MedAntiEplipetic,0.0,1.0
MedStimulant,0.0,1.0
