z,Risk1Year,Risk5Year,Risk10Year
-3.6246932257838327,0.015954118962211765,0.05219711705178521,0.0791610244596873
-0.34602655140553423,0.005293598594858854,0.018493956699070477,0.029790526916969418
-0.22383144231049296,0.006559703220576216,0.02286472842965733,0.03675872112039462
-0.14664963966797787,0.0070896392754401455,0.02469998530913511,0.03969270452637868
-0.09460281274198135,0.007036784588738945,0.024523874103756962,0.039419607439078394
-0.049156987548099274,0.009081534647289115,0.03155105721610744,0.05058750124313787
-0.004324950251721693,0.009827532004390571,0.034084756388898074,0.0545638522178522
0.026851390387281293,0.010355294421348122,0.03591395104143617,0.05748851856148394
0.053504771593299305,0.01020206634296701,0.03537451405473792,0.05661798475439015
0.07418897281851239,0.011914935143413807,0.041219462144990865,0.06584274211429346
0.09320471474200848,0.013209070965713847,0.04559764884509534,0.07271679941750624
0.11587411073561915,0.012099952857284513,0.041856600914436784,0.06685938726229058
0.13564225885804654,0.011670621729304024,0.04039788441678227,0.06455313712691925
0.15850478555264455,0.012559597720252919,0.0433881580290001,0.06923618376245354
0.17564649457951667,0.01318527439897345,0.04556006825639916,0.07269487771130898
0.1935973191576319,0.013562082017214533,0.04684601247258079,0.07472304284364818
0.21057105596991885,0.014928970099596388,0.0513711954301481,0.08167531929801854
0.23056651109028242,0.015681532482350626,0.05393013414368255,0.08569049308462184
0.24320349528446691,0.016413685984705887,0.05636900126320521,0.08947630116228743
0.26064334523046434,0.015846868053925506,0.05452883128174477,0.08666939519070575
0.27465375474965603,0.015591645283530799,0.05366874442361107,0.08533938648138634
0.2881449769610581,0.016874471098270533,0.057983880118495534,0.0920694582982708
0.3011985936171351,0.016864781312253628,0.057777875246039126,0.09148348584084733
0.31341132020597784,0.01713891269807276,0.058834552584069846,0.09335473433265036
0.322816452860567,0.01900380162077317,0.06513447602720346,0.10321250946701982
0.33532062157808573,0.019748323215207007,0.06752847353459128,0.10678794840831675
0.344934534815011,0.020120214802072302,0.06877893761651326,0.10871486236444569
0.35750940570288403,0.020776339309262627,0.0709656258692032,0.1121318981380597
0.3702377893934562,0.018640614111854813,0.06388942334457745,0.10124539700040898
0.38182134004894713,0.021191285623607007,0.07217456023930019,0.11375515797590724
0.39274279138779206,0.020457503211991915,0.06990629793761273,0.1104599878344184
0.40756870174846604,0.01963035452749631,0.06695329716825481,0.10561174782498782
0.415423956011297,0.020498916729778154,0.06997537455801293,0.11049427535269235
0.4256181352942452,0.01978551021633623,0.06769596607933813,0.10707273673588968
0.4341916709449905,0.021307242214572548,0.07277012234467282,0.11495362940466053
0.44671994673777676,0.024662332733719938,0.08384695486935988,0.13192503230391198
0.45630307004822995,0.022422371314550407,0.07645268300593014,0.12059202877247328
0.46466590404364316,0.026547775062320204,0.0898539695612267,0.14079285182385662
0.47465659930084236,0.024489839948732463,0.08317084186047118,0.13075989952010894
0.4816843472358837,0.02536029356514019,0.0861699770909694,0.13549365418135817
0.4915820908847542,0.031893479048446076,0.10682239387528697,0.1659750727841625
0.5011893130938554,0.026672443199958807,0.09032893744132071,0.1415865872666154
0.5102793851054648,0.024088248805777687,0.08196859769731224,0.1290494687087229
0.5194077528706111,0.026659225490071516,0.09034917158037702,0.14173157758984375
0.5282951638380213,0.02753459731208763,0.09301113771801682,0.14549798361224897
0.5345013959607957,0.026662764262907326,0.09028293950532439,0.1414779557504973
0.5426416857271998,0.0315529909892464,0.10610874007947557,0.16531718152203145
0.5494304768547741,0.028110737751767575,0.09514761307193695,0.14911182542562765
0.5594296405086658,0.028294316648042276,0.09553365975599665,0.14932492338314526
0.5682796293257253,0.030108700798204723,0.1015390000476276,0.15858719458004386
0.5768233598378524,0.03144497218334188,0.10584757434772697,0.16509961090641015
0.5871233071439906,0.03010499039652675,0.10138550686648164,0.15813973511395962
0.5940957487475723,0.03130479740436379,0.10546749702122557,0.1646227842612819
0.6031882583654355,0.03354360752669209,0.11229025661694708,0.17437649828770588
0.6112317206567675,0.033380010268304235,0.11206803618818405,0.17437814143813374
0.6184167272294689,0.031307012525313205,0.10543293322042656,0.16446966855325704
0.6270332747919511,0.030373671594888185,0.1024536952694362,0.1601054702755499
0.6352615938991191,0.03502884174435408,0.11733179197579541,0.18219505261153016
0.6431204788171034,0.034049739328500826,0.11413992794096095,0.17736626792801535
0.6517736192433347,0.03247425240096375,0.1089983118477201,0.16945390099599764
0.6603553825879327,0.03894694561807504,0.1297425272451931,0.2005855023508358
0.6696103787226613,0.03620550805944826,0.12117176067617925,0.18806996367788714
0.6807089597525904,0.03288202168866658,0.11013692023095882,0.17087278561946012
0.688997660827148,0.03301786589988817,0.11044156773326158,0.1710839951298129
0.6971379628182868,0.04186848559207869,0.13785401443429962,0.21101749997216324
0.7054289071459967,0.03735429780802058,0.12448461180116377,0.19239169311026386
0.7157860709098941,0.04042961515220242,0.1342781252846346,0.20699651879794995
0.7258253392687688,0.04699129547081227,0.15364916678134743,0.23399777588098747
0.7345101645572252,0.0391761290596923,0.13041225083709665,0.2013353629822068
0.7419355645545966,0.04249881380677803,0.14077889633656304,0.21650651050964742
0.7507984576605912,0.04283542428872673,0.1417177226038694,0.21769932806225906
0.7587004537796882,0.037807983790257946,0.12574921506702488,0.1938833292593323
0.7678232782902902,0.04561406904670942,0.1503281035737495,0.23010197196922846
0.7792029647072001,0.04138606744221445,0.13732193071297746,0.21146625733554292
0.791752011784323,0.04498944985545303,0.1485617057253417,0.2278069499721262
0.8029560420932705,0.04906178153012744,0.15997226962999764,0.24279667487457857
0.8162342254560307,0.05472826163782396,0.17838233338212733,0.2704654195784217
0.8270220373214788,0.054114934380441085,0.1764816864144538,0.2677330929855068
0.8404143559881534,0.05097556630152955,0.16652008950175234,0.25298095287216493
0.8532112683917253,0.05380189060379304,0.17513982327469443,0.26532124644274435
0.862778678066052,0.05026820342308998,0.16394564370931203,0.24863263407445632
0.8735678027375013,0.05225439623475389,0.17016509885593092,0.25750373092831585
0.889460317493316,0.05763226040304578,0.18674041521386886,0.2816490890199232
0.8987102302620534,0.06095032281549588,0.196211061063749,0.29424415075162086
0.9149303923427459,0.05756326015922903,0.1853486398157747,0.2779757659555346
0.929726286288602,0.06487292947557212,0.2079367568888636,0.3107735950017305
0.9431704090188684,0.06608709132135983,0.21141454765497353,0.31552079795748483
0.9571649685329047,0.07012002053838104,0.22236067924015954,0.32923535554535716
0.9732815853790407,0.07287031964359104,0.22910979699903403,0.33677054218913544
0.9913601288640989,0.06786470401604251,0.21524650467854511,0.31849733633047905
1.0119125083455818,0.07710623428325858,0.24251508978184425,0.3571962765999371
1.035267589618668,0.07316097762616619,0.23115153208886266,0.3411533639262667
1.062407174982017,0.0795986679431427,0.2491701378253621,0.3648688817069459
1.0852806694109187,0.07928677521197004,0.2468924737261988,0.360131359325119
1.1178857272281402,0.08787050389196062,0.26980585775991106,0.38847913063825357
1.1546824002245981,0.08925640900200299,0.27542499489716005,0.3987638242669854
1.207621817138691,0.11498546141770438,0.34147359824022117,0.47952804188301296
1.2651820513611178,0.11199618832905257,0.33129381353288784,0.4630464288980344
1.3421979948400666,0.1249968247776784,0.35830902154895183,0.48832109328031914
1.7877795914163195,0.20801815166905543,0.4883220856578061,0.5903647510513763
